NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_58,MO_1_7889,
,,NONE,MAP,MO_100001_58,VMR_2_151850,
,,NONE,MAP,MO_100001_59,MO_1_7890,
,,NONE,MAP,MO_100001_59,VMR_2_151851,
,,NONE,MAP,MO_100001_60,MO_1_7891,
,,NONE,MAP,MO_100001_60,VMR_2_151852,
,,NONE,MAP,MO_100001_61,MO_1_7892,
,,NONE,MAP,MO_100001_61,VMR_2_151853,
,,NONE,MAP,MO_100001_62,MO_1_7893,
,,NONE,MAP,MO_100001_62,VMR_2_151854,
,,NONE,MAP,MO_100001_63,MO_1_7894,
,,NONE,MAP,MO_100001_63,VMR_2_151855,
,,NONE,MAP,MO_100001_64,MO_1_7895,
,,NONE,MAP,MO_100001_64,VMR_2_151856,
,,NONE,MAP,MO_100001_65,MO_1_7912,
,,NONE,MAP,MO_100001_65,VMR_2_151873,
,,NONE,MAP,MO_100001_66,MO_1_7913,
,,NONE,MAP,MO_100001_66,VMR_2_151874,
,,NONE,MAP,MO_100001_67,MO_1_7914,
,,NONE,MAP,MO_100001_67,VMR_2_151875,
,,NONE,MAP,MO_100001_68,MO_1_7915,
,,NONE,MAP,MO_100001_68,VMR_2_151876,
,,NONE,MAP,MO_100001_69,MO_1_7916,
,,NONE,MAP,MO_100001_69,VMR_2_151877,
,,NONE,MAP,MO_100001_70,MO_1_7917,
,,NONE,MAP,MO_100001_70,VMR_2_151878,
,,NONE,MAP,MO_100001_71,MO_1_7918,
,,NONE,MAP,MO_100001_71,VMR_2_151879,
,,NONE,MAP,MO_100001_72,MO_1_7919,
,,NONE,MAP,MO_100001_72,VMR_2_151880,
,,NONE,MAP,MO_100001_73,MO_1_7920,
,,NONE,MAP,MO_100001_73,VMR_2_151881,
,,NONE,MAP,MO_100001_74,MO_1_7921,
,,NONE,MAP,MO_100001_74,VMR_2_151882,
,,NONE,MAP,MO_100001_75,MO_1_7922,
,,NONE,MAP,MO_100001_75,VMR_2_151883,
,,NONE,MAP,MO_100001_76,MO_1_7923,
,,NONE,MAP,MO_100001_76,VMR_2_151884,
,,NONE,MAP,MO_100001_77,MO_1_7924,
,,NONE,MAP,MO_100001_77,VMR_2_151885,
,,NONE,MAP,MO_100001_78,MO_1_7925,
,,NONE,MAP,MO_100001_78,VMR_2_151886,
,,NONE,MAP,MO_100001_79,MO_1_7926,
,,NONE,MAP,MO_100001_79,VMR_2_151887,
,,NONE,MAP,MO_100001_80,MO_1_7927,
,,NONE,MAP,MO_100001_80,VMR_2_151888,
