NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,RP,HOLD,PD_100002,VMR_100002_64,
,,RP,HOLD,PD_100002,VMR_100002_65,
,,RP,HOLD,PD_100002,VMR_100002_66,
,,RP,HOLD,PD_100002,VMR_100002_67,
,,RP,HOLD,PD_100002,VMR_100002_68,
,,RP,HOLD,PD_100002,VMR_100002_69,
,,RP,HOLD,PD_100002,VMR_100002_70,
,,RP,HOLD,PD_100002,VMR_100002_71,
,,RP,HOLD,PD_100002,VMR_100002_72,
,,RP,HOLD,PD_100002,VMR_100002_73,
,,RP,HOLD,PD_100002,VMR_100002_74,
,,RP,HOLD,PD_100002,VMR_100002_75,
,,RP,HOLD,PD_100002,VMR_100002_76,
,,RP,HOLD,PD_100002,VMR_100002_77,
,,RP,HOLD,PD_100002,VMR_100002_78,
,,RP,HOLD,PD_100002,VMR_100002_79,
,,RP,HOLD,PD_100002,VMR_100002_80,
,,RXP,HOLD,PD_100002,VMR_100002_81,
,,RXP,HOLD,PD_100002,VMR_100002_82,
,,RXP,HOLD,PD_100002,VMR_100002_83,
,,RXP,HOLD,PD_100002,VMR_100002_84,
,,RXP,HOLD,PD_100002,VMR_100002_85,
,,RXP,HOLD,PD_100002,VMR_100002_86,
,,RXP,HOLD,PD_100002,VMR_100002_87,
,,RXP,HOLD,PD_100002,VMR_100002_88,
,,RXP,HOLD,PD_100002,VMR_100002_89,
,,RXP,HOLD,PD_100002,VMR_100002_90,
,,RXP,HOLD,PD_100002,VMR_100002_91,
,,RXP,HOLD,PD_100002,VMR_100002_92,
,,RXP,HOLD,PD_100002,VMR_100002_93,
,,RXP,HOLD,PD_100002,VMR_100002_94,
,,RXP,HOLD,PD_100002,VMR_100002_95,
,,RXP,HOLD,PD_100002,VMR_100002_96,
,,RXP,HOLD,PD_100002,VMR_100002_97,
,,RXP,HOLD,PD_100002,VMR_100002_98,
,,RXP,HOLD,PD_100002,VMR_100002_99,
,,RXP,HOLD,PD_100002,VMR_100002_100,
,,RXP,HOLD,PD_100002,VMR_100002_101,
,,RXP,HOLD,PD_100002,VMR_100002_102,
,,RXP,HOLD,PD_100002,VMR_100002_103,
,,RXP,HOLD,PD_100002,VMR_100002_104,
,,RXP,HOLD,PD_100002,VMR_100002_105,
,,RXP,HOLD,PD_100002,VMR_100002_106,
,,RXP,HOLD,PD_100002,VMR_100002_107,
,,RXP,HOLD,PD_100002,VMR_100002_108,
,,RXP,HOLD,PD_100002,VMR_100002_109,
,,RXP,HOLD,PD_100002,VMR_100002_110,
,,RXP,HOLD,PD_100002,VMR_100002_111,
,,RXP,HOLD,PD_100002,VMR_100002_112,
,,RXP,HOLD,PD_100002,VMR_100002_113,
,,RXP,HOLD,PD_100002,VMR_100002_114,
,,RXP,HOLD,PD_100002,VMR_100002_115,
,,RXP,HOLD,PD_100002,VMR_100002_116,
,,RXP,HOLD,PD_100002,VMR_100002_117,
,,RXP,HOLD,PD_100002,VMR_100002_118,
,,RXP,HOLD,PD_100002,VMR_100002_119,
,,RXP,HOLD,PD_100002,VMR_100002_120,
,,RXP,HOLD,PD_100002,VMR_100002_121,
,,RXP,HOLD,PD_100002,VMR_100002_122,
,,RXP,HOLD,PD_100002,VMR_100002_123,
,,RXP,HOLD,PD_100002,VMR_100002_124,
,,RXP,HOLD,PD_100002,VMR_100002_125,
,,RXP,HOLD,PD_100002,VMR_100002_126,
,,RXP,HOLD,PD_100002,VMR_100002_127,
,,RXP,HOLD,PD_100002,VMR_100002_128,
,,RXP,HOLD,PD_100002,VMR_100002_129,
,,RXP,HOLD,PD_100002,VMR_100002_130,
,,RXP,HOLD,PD_100002,VMR_100002_131,
,,RXP,HOLD,PD_100002,VMR_100002_132,
,,RXP,HOLD,PD_100002,VMR_100002_133,
,,RXP,HOLD,PD_100002,VMR_100002_134,
,,RXP,HOLD,PD_100002,VMR_100002_135,
,,RXP,HOLD,PD_100002,VMR_100002_136,
,,RXP,HOLD,PD_100002,VMR_100002_137,
,,RXP,HOLD,PD_100002,VMR_100002_138,
,,RXP,HOLD,PD_100002,VMR_100002_139,
,,RXP,HOLD,PD_100002,VMR_100002_140,
,,RXP,HOLD,PD_100002,VMR_100002_141,
