NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,NONE,MAP,MO_100001_1,MO_1_20830,
,,NONE,MAP,MO_100001_1,VMR_2_222060,
,,NONE,MAP,MO_100001_2,MO_1_20831,
,,NONE,MAP,MO_100001_2,VMR_2_222061,
,,NONE,MAP,MO_100001_3,MO_1_20832,
,,NONE,MAP,MO_100001_3,VMR_2_222062,
,,NONE,MAP,MO_100001_4,MO_1_20833,
,,NONE,MAP,MO_100001_4,VMR_2_222063,
,,NONE,MAP,MO_100001_5,MO_1_20836,
,,NONE,MAP,MO_100001_5,VMR_2_222066,
,,NONE,MAP,MO_100001_6,MO_1_20837,
,,NONE,MAP,MO_100001_6,VMR_2_222067,
,,NONE,MAP,MO_100001_7,MO_1_20838,
,,NONE,MAP,MO_100001_7,VMR_2_222068,
,,NONE,MAP,MO_100001_8,MO_1_20839,
,,NONE,MAP,MO_100001_8,VMR_2_222069,
,,NONE,MAP,MO_100001_9,MO_1_20840,
,,NONE,MAP,MO_100001_9,VMR_2_222070,
,,NONE,MAP,MO_100001_10,MO_1_20841,
,,NONE,MAP,MO_100001_10,VMR_2_222071,
,,NONE,MAP,MO_100001_11,MO_1_20842,
,,NONE,MAP,MO_100001_11,VMR_2_222072,
,,NONE,MAP,MO_100001_12,MO_1_20843,
,,NONE,MAP,MO_100001_12,VMR_2_222073,
,,NONE,MAP,MO_100001_13,MO_1_20844,
,,NONE,MAP,MO_100001_13,VMR_2_222074,
,,NONE,MAP,MO_100001_14,MO_1_20845,
,,NONE,MAP,MO_100001_14,VMR_2_222075,
,,NONE,MAP,MO_100001_15,MO_1_20846,
,,NONE,MAP,MO_100001_15,VMR_2_222076,
,,NONE,MAP,MO_100001_16,MO_1_20847,
,,NONE,MAP,MO_100001_16,VMR_2_222077,
,,NONE,MAP,MO_100001_17,MO_1_20848,
,,NONE,MAP,MO_100001_17,VMR_2_222078,
,,NONE,MAP,MO_100001_18,MO_1_20849,
,,NONE,MAP,MO_100001_18,VMR_2_222079,
,,NONE,MAP,MO_100001_19,MO_1_20850,
,,NONE,MAP,MO_100001_19,VMR_2_222080,
,,NONE,MAP,MO_100001_20,MO_1_20851,
,,NONE,MAP,MO_100001_20,VMR_2_222081,
,,NONE,MAP,MO_100001_21,MO_1_20852,
,,NONE,MAP,MO_100001_21,VMR_2_222082,
,,NONE,MAP,MO_100001_22,MO_1_20853,
,,NONE,MAP,MO_100001_22,VMR_2_222083,
,,NONE,MAP,MO_100001_23,MO_1_20854,
,,NONE,MAP,MO_100001_23,VMR_2_222084,
,,NONE,MAP,MO_100001_24,MO_1_20855,
,,NONE,MAP,MO_100001_24,VMR_2_222085,
,,NONE,MAP,MO_100001_25,MO_1_20856,
,,NONE,MAP,MO_100001_25,VMR_2_222086,
,,NONE,MAP,MO_100001_26,MO_1_20857,
,,NONE,MAP,MO_100001_26,VMR_2_222087,
,,NONE,MAP,MO_100001_27,MO_1_20858,
,,NONE,MAP,MO_100001_27,VMR_2_222088,
,,NONE,MAP,MO_100001_28,MO_1_20859,
,,NONE,MAP,MO_100001_28,VMR_2_222089,
,,NONE,MAP,MO_100001_29,MO_1_20860,
,,NONE,MAP,MO_100001_29,VMR_2_222090,
,,NONE,MAP,MO_100001_30,MO_1_27436,
,,NONE,MAP,MO_100001_30,VMR_2_226812,
,,NONE,MAP,MO_100001_31,MO_1_27437,
,,NONE,MAP,MO_100001_31,VMR_2_226813,
,,NONE,MAP,MO_100001_32,MO_1_27438,
,,NONE,MAP,MO_100001_32,VMR_2_226814,
,,NONE,MAP,MO_100001_33,MO_1_27439,
,,NONE,MAP,MO_100001_33,VMR_2_226815,
,,NONE,MAP,MO_100001_34,MO_1_27447,
,,NONE,MAP,MO_100001_34,VMR_2_226823,
,,NONE,MAP,MO_100001_35,MO_1_27448,
,,NONE,MAP,MO_100001_35,VMR_2_226824,
,,NONE,MAP,MO_100001_36,MO_1_27449,
,,NONE,MAP,MO_100001_36,VMR_2_226825,
,,NONE,MAP,MO_100001_37,MO_1_27450,
