NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
PD,PD_100001,Kernel,,,,
RESOURCE_SPACE,MO_SPACE_100001,MO,,,,
RESOURCE,MO_100001_1,MO,,,,"{""pa"": ""0x3205000"", ""num_pages"": ""3"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_2,MO,,,,"{""pa"": ""0x3208000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_3,MO,,,,"{""pa"": ""0x3210000"", ""num_pages"": ""16"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_4,MO,,,,"{""pa"": ""0x323e000"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_5,MO,,,,"{""pa"": ""0x3240000"", ""num_pages"": ""19"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_6,MO,,,,"{""pa"": ""0x3254000"", ""num_pages"": ""6"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_7,MO,,,,"{""pa"": ""0x325a000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_8,MO,,,,"{""pa"": ""0x3260000"", ""num_pages"": ""10"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_9,MO,,,,"{""pa"": ""0x326a000"", ""num_pages"": ""6"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_10,MO,,,,"{""pa"": ""0x3270000"", ""num_pages"": ""3"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_11,MO,,,,"{""pa"": ""0x3274000"", ""num_pages"": ""6"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_12,MO,,,,"{""pa"": ""0x327e000"", ""num_pages"": ""2"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_13,MO,,,,"{""pa"": ""0x33a4000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_14,MO,,,,"{""pa"": ""0x33c0000"", ""num_pages"": ""4"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_15,MO,,,,"{""pa"": ""0x33c4000"", ""num_pages"": ""6"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_16,MO,,,,"{""pa"": ""0x33db000"", ""num_pages"": ""5"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_17,MO,,,,"{""pa"": ""0x33e8000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
RESOURCE,MO_100001_18,MO,,,,"{""pa"": ""0x33e9000"", ""num_pages"": ""1"", ""page_size"": ""4096""}"
